DATAFLOW,LAST UPDATE,freq,unit,c_unload,c_load,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE93,DE,2005,4,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DE94,DE,2005,10,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DEA2,DE,2005,10,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DEA3,DE,2005,2,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DEA5,DE,2005,10,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DEB1,DE,2005,12,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DEB3,DE,2005,9,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DEC0,DE,2005,2,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DED1,DE,2005,6,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DED2,DE,2005,6,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DED3,DE,2005,4,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DEE1,DE,2005,2,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DEE2,DE,2005,2,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DEE3,DE,2005,3,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,DEG0,DE,2005,2,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HR03,HR,2020,2,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HR05,HR,2020,2,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU10,HU,2005,79,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU10,HU,2010,801,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU10,HU,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU11,HU,2020,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU12,HU,2020,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU21,HU,2010,11,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU21,HU,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU22,HU,2005,3937,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU22,HU,2010,167,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU22,HU,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU22,HU,2020,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU23,HU,2010,82,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU23,HU,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU23,HU,2020,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU31,HU,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU31,HU,2020,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU32,HU,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU32,HU,2020,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU33,HU,2010,52,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU33,HU,2015,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,HU33,HU,2020,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,ITC4,IT,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,ITD3,IT,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,ITD4,IT,2005,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,ITH1,IT,2020,,,C
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,PL12,PL,2005,4,,
ESTAT:TRAN_R_RAPA(1.0),09/06/22 23:00:00,A,PAS,AT11,PL12,PL,2010,2,,
