nuts2_code,type_id,feature,weight,direction,threshold_val,actual_val
DK03,T1,ultrafast_broadband_pct,2,+,92.97,92.57
IE06,T1,epo_patents_per_mio_pop,2,+,11.2615,0.0
SK01,T1,epo_patents_per_mio_pop,2,+,11.2615,9.513
BE10,T1,doing_business_score,2,+,74.45,74.3
BE24,T1,doing_business_score,2,+,74.45,74.3
BE31,T1,doing_business_score,2,+,74.45,74.3
HR05,T1,doing_business_score,2,+,74.45,73.6
HU11,T1,doing_business_score,2,+,74.45,73.4
FR10,T1,cit_rate_pct,1,-,25.0,25.83
NL11,T1,cit_rate_pct,1,-,25.0,25.8
NL21,T1,cit_rate_pct,1,-,25.0,25.8
NL22,T1,cit_rate_pct,1,-,25.0,25.8
NL23,T1,cit_rate_pct,1,-,25.0,25.8
NL31,T1,cit_rate_pct,1,-,25.0,25.8
NL32,T1,cit_rate_pct,1,-,25.0,25.8
NL33,T1,cit_rate_pct,1,-,25.0,25.8
NL41,T1,cit_rate_pct,1,-,25.0,25.8
NL42,T1,cit_rate_pct,1,-,25.0,25.8
CZ01,T1,electricity_price_eur_kwh,1,-,0.2066,0.213
DE11,T1,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE12,T1,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE13,T1,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE14,T1,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE21,T1,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE23,T1,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE25,T1,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE30,T1,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE60,T1,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE71,T1,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE91,T1,electricity_price_eur_kwh,1,-,0.2066,0.2106
DEA2,T1,electricity_price_eur_kwh,1,-,0.2066,0.2106
DEB3,T1,electricity_price_eur_kwh,1,-,0.2066,0.2106
HU11,T1,electricity_price_eur_kwh,1,-,0.2066,0.211
IE06,T1,electricity_price_eur_kwh,1,-,0.2066,0.2328
SK01,T1,electricity_price_eur_kwh,1,-,0.2066,0.2066
CZ01,T2,gerd_hes_pct_gdp,3,+,0.36,0.35
HU11,T2,gerd_hes_pct_gdp,3,+,0.36,0.18
IE06,T2,gerd_hes_pct_gdp,3,+,0.36,0.17
LU00,T2,gerd_hes_pct_gdp,3,+,0.36,0.29
SK01,T2,gerd_hes_pct_gdp,3,+,0.36,0.23
IE06,T2,epo_patents_per_mio_pop,2,+,11.2615,0.0
SK01,T2,epo_patents_per_mio_pop,2,+,11.2615,9.513
BE10,T2,doing_business_score,2,+,74.45,74.3
BE24,T2,doing_business_score,2,+,74.45,74.3
BE31,T2,doing_business_score,2,+,74.45,74.3
HR05,T2,doing_business_score,2,+,74.45,73.6
HU11,T2,doing_business_score,2,+,74.45,73.4
FR10,T2,cit_rate_pct,1,-,25.0,25.83
FRJ2,T2,cit_rate_pct,1,-,25.0,25.83
NL23,T2,cit_rate_pct,1,-,25.0,25.8
NL32,T2,cit_rate_pct,1,-,25.0,25.8
NL41,T2,cit_rate_pct,1,-,25.0,25.8
CZ01,T2,electricity_price_eur_kwh,1,-,0.2066,0.213
DE11,T2,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE12,T2,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE13,T2,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE14,T2,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE21,T2,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE25,T2,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE30,T2,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE60,T2,electricity_price_eur_kwh,1,-,0.2066,0.2106
DE71,T2,electricity_price_eur_kwh,1,-,0.2066,0.2106
DEA2,T2,electricity_price_eur_kwh,1,-,0.2066,0.2106
DEB3,T2,electricity_price_eur_kwh,1,-,0.2066,0.2106
HU11,T2,electricity_price_eur_kwh,1,-,0.2066,0.211
IE06,T2,electricity_price_eur_kwh,1,-,0.2066,0.2328
SK01,T2,electricity_price_eur_kwh,1,-,0.2066,0.2066
CZ01,T3,electricity_price_eur_kwh,3,-,0.2066,0.213
DE11,T3,electricity_price_eur_kwh,3,-,0.2066,0.2106
DE12,T3,electricity_price_eur_kwh,3,-,0.2066,0.2106
DE13,T3,electricity_price_eur_kwh,3,-,0.2066,0.2106
DE14,T3,electricity_price_eur_kwh,3,-,0.2066,0.2106
DE21,T3,electricity_price_eur_kwh,3,-,0.2066,0.2106
DE23,T3,electricity_price_eur_kwh,3,-,0.2066,0.2106
DE25,T3,electricity_price_eur_kwh,3,-,0.2066,0.2106
DE30,T3,electricity_price_eur_kwh,3,-,0.2066,0.2106
DE60,T3,electricity_price_eur_kwh,3,-,0.2066,0.2106
DE71,T3,electricity_price_eur_kwh,3,-,0.2066,0.2106
DE72,T3,electricity_price_eur_kwh,3,-,0.2066,0.2106
DEA1,T3,electricity_price_eur_kwh,3,-,0.2066,0.2106
DEA2,T3,electricity_price_eur_kwh,3,-,0.2066,0.2106
DEB3,T3,electricity_price_eur_kwh,3,-,0.2066,0.2106
DED2,T3,electricity_price_eur_kwh,3,-,0.2066,0.2106
HU11,T3,electricity_price_eur_kwh,3,-,0.2066,0.211
IE05,T3,electricity_price_eur_kwh,3,-,0.2066,0.2328
IE06,T3,electricity_price_eur_kwh,3,-,0.2066,0.2328
BE10,T3,rail_freight_ktonnes,2,+,180641.25,55450.0
BE24,T3,rail_freight_ktonnes,2,+,180641.25,53032.0
BE31,T3,rail_freight_ktonnes,2,+,180641.25,0.0
DK02,T3,rail_freight_ktonnes,2,+,180641.25,162657.0
FR10,T3,rail_freight_ktonnes,2,+,180641.25,100926.0
FRB0,T3,rail_freight_ktonnes,2,+,180641.25,59524.0
FRC2,T3,rail_freight_ktonnes,2,+,180641.25,94976.0
FRD2,T3,rail_freight_ktonnes,2,+,180641.25,18734.0
FRH0,T3,rail_freight_ktonnes,2,+,180641.25,5506.0
FRJ2,T3,rail_freight_ktonnes,2,+,180641.25,1643.0
FRK1,T3,rail_freight_ktonnes,2,+,180641.25,2914.0
IE05,T3,rail_freight_ktonnes,2,+,180641.25,37449.0
LT01,T3,rail_freight_ktonnes,2,+,180641.25,10330.0
NL13,T3,rail_freight_ktonnes,2,+,180641.25,140064.0
NL22,T3,rail_freight_ktonnes,2,+,180641.25,67953.0
NL23,T3,rail_freight_ktonnes,2,+,180641.25,1112.0
NL31,T3,rail_freight_ktonnes,2,+,180641.25,166332.0
SE21,T3,rail_freight_ktonnes,2,+,180641.25,105779.0
SE33,T3,rail_freight_ktonnes,2,+,180641.25,86824.0
DK01,T3,port_throughput_ktonnes,2,+,124238.0,93755.0
DK02,T3,port_throughput_ktonnes,2,+,124238.0,93755.0
EE00,T3,port_throughput_ktonnes,2,+,124238.0,21722.0
FI19,T3,port_throughput_ktonnes,2,+,124238.0,93024.0
FI1B,T3,port_throughput_ktonnes,2,+,124238.0,93024.0
FI1C,T3,port_throughput_ktonnes,2,+,124238.0,93024.0
FI1D,T3,port_throughput_ktonnes,2,+,124238.0,93024.0
FI20,T3,port_throughput_ktonnes,2,+,124238.0,93024.0
HR05,T3,port_throughput_ktonnes,2,+,124238.0,20854.0
IE05,T3,port_throughput_ktonnes,2,+,124238.0,51163.0
IE06,T3,port_throughput_ktonnes,2,+,124238.0,51163.0
LT01,T3,port_throughput_ktonnes,2,+,124238.0,39493.0
BE10,T3,doing_business_score,2,+,74.45,74.3
BE24,T3,doing_business_score,2,+,74.45,74.3
BE31,T3,doing_business_score,2,+,74.45,74.3
BE35,T3,doing_business_score,2,+,74.45,74.3
HR05,T3,doing_business_score,2,+,74.45,73.6
HU11,T3,doing_business_score,2,+,74.45,73.4
DE11,T3,artificial_land_pct,1,+,5.3706,5.0985
DE14,T3,artificial_land_pct,1,+,5.3706,5.3377
ES51,T3,artificial_land_pct,1,+,5.3706,5.2525
FI1C,T3,artificial_land_pct,1,+,5.3706,5.3286
FR10,T3,artificial_land_pct,1,+,5.3706,5.3081
FRB0,T3,artificial_land_pct,1,+,5.3706,5.2562
FRC2,T3,artificial_land_pct,1,+,5.3706,5.0127
FRH0,T3,artificial_land_pct,1,+,5.3706,5.3281
FRK1,T3,artificial_land_pct,1,+,5.3706,4.9328
FRK2,T3,artificial_land_pct,1,+,5.3706,4.8719
NL41,T3,artificial_land_pct,1,+,5.3706,5.3694
FR10,T3,cit_rate_pct,1,-,25.0,25.83
FRB0,T3,cit_rate_pct,1,-,25.0,25.83
FRC2,T3,cit_rate_pct,1,-,25.0,25.83
FRD2,T3,cit_rate_pct,1,-,25.0,25.83
FRF1,T3,cit_rate_pct,1,-,25.0,25.83
FRH0,T3,cit_rate_pct,1,-,25.0,25.83
FRJ2,T3,cit_rate_pct,1,-,25.0,25.83
FRK1,T3,cit_rate_pct,1,-,25.0,25.83
FRK2,T3,cit_rate_pct,1,-,25.0,25.83
NL11,T3,cit_rate_pct,1,-,25.0,25.8
NL13,T3,cit_rate_pct,1,-,25.0,25.8
NL21,T3,cit_rate_pct,1,-,25.0,25.8
NL22,T3,cit_rate_pct,1,-,25.0,25.8
NL23,T3,cit_rate_pct,1,-,25.0,25.8
NL31,T3,cit_rate_pct,1,-,25.0,25.8
NL32,T3,cit_rate_pct,1,-,25.0,25.8
NL33,T3,cit_rate_pct,1,-,25.0,25.8
NL41,T3,cit_rate_pct,1,-,25.0,25.8
NL42,T3,cit_rate_pct,1,-,25.0,25.8
CZ02,T4,renewable_energy_share_pct,3,+,19.385,19.211
CZ03,T4,renewable_energy_share_pct,3,+,19.385,19.211
CZ04,T4,renewable_energy_share_pct,3,+,19.385,19.211
CZ05,T4,renewable_energy_share_pct,3,+,19.385,19.211
CZ06,T4,renewable_energy_share_pct,3,+,19.385,19.211
CZ07,T4,renewable_energy_share_pct,3,+,19.385,19.211
CZ08,T4,renewable_energy_share_pct,3,+,19.385,19.211
SK02,T4,renewable_energy_share_pct,3,+,19.385,18.092
SK03,T4,renewable_energy_share_pct,3,+,19.385,18.092
SK04,T4,renewable_energy_share_pct,3,+,19.385,18.092
BG32,T4,lq_nace_d35_clean,3,+,0.8735,0.8596
EL54,T4,lq_nace_d35_clean,3,+,0.8735,0.6909
EL61,T4,lq_nace_d35_clean,3,+,0.8735,0.76
EL65,T4,lq_nace_d35_clean,3,+,0.8735,0.7845
ES62,T4,lq_nace_d35_clean,3,+,0.8735,0.8731
ES63,T4,lq_nace_d35_clean,3,+,0.8735,0.8237
ES64,T4,lq_nace_d35_clean,3,+,0.8735,0.6261
FI1B,T4,lq_nace_d35_clean,3,+,0.8735,0.8488
FI20,T4,lq_nace_d35_clean,3,+,0.8735,0.0
SE11,T4,lq_nace_d35_clean,3,+,0.8735,0.7751
SE21,T4,lq_nace_d35_clean,3,+,0.8735,0.8118
SE22,T4,lq_nace_d35_clean,3,+,0.8735,0.8462
DK02,T4,gerd_gov_pct_gdp,2,+,0.13,0.08
PT11,T4,gerd_gov_pct_gdp,2,+,0.13,0.09
PT16,T4,gerd_gov_pct_gdp,2,+,0.13,0.09
PT17,T4,gerd_gov_pct_gdp,2,+,0.13,0.09
PT18,T4,gerd_gov_pct_gdp,2,+,0.13,0.09
PT20,T4,gerd_gov_pct_gdp,2,+,0.13,0.09
RO11,T4,gerd_gov_pct_gdp,2,+,0.13,0.12
RO12,T4,gerd_gov_pct_gdp,2,+,0.13,0.12
RO21,T4,gerd_gov_pct_gdp,2,+,0.13,0.12
RO22,T4,gerd_gov_pct_gdp,2,+,0.13,0.12
RO31,T4,gerd_gov_pct_gdp,2,+,0.13,0.12
RO41,T4,gerd_gov_pct_gdp,2,+,0.13,0.12
BG31,T4,doing_business_score,1,+,74.45,72.0
BG32,T4,doing_business_score,1,+,74.45,72.0
BG33,T4,doing_business_score,1,+,74.45,72.0
BG34,T4,doing_business_score,1,+,74.45,72.0
BG41,T4,doing_business_score,1,+,74.45,72.0
BG42,T4,doing_business_score,1,+,74.45,72.0
HR02,T4,doing_business_score,1,+,74.45,73.6
HR03,T4,doing_business_score,1,+,74.45,73.6
HR06,T4,doing_business_score,1,+,74.45,73.6
LV00,T4,doing_business_score,1,+,74.45,74.0
RO11,T4,doing_business_score,1,+,74.45,73.3
RO12,T4,doing_business_score,1,+,74.45,73.3
RO21,T4,doing_business_score,1,+,74.45,73.3
RO22,T4,doing_business_score,1,+,74.45,73.3
RO31,T4,doing_business_score,1,+,74.45,73.3
RO41,T4,doing_business_score,1,+,74.45,73.3
BG31,T4,score_talent,1,+,-1.0134,-1.5225
BG42,T4,score_talent,1,+,-1.0134,-1.0918
CZ04,T4,score_talent,1,+,-1.0134,-2.0876
CZ05,T4,score_talent,1,+,-1.0134,-1.1321
EL41,T4,score_talent,1,+,-1.0134,-2.4642
EL42,T4,score_talent,1,+,-1.0134,-2.4465
EL43,T4,score_talent,1,+,-1.0134,-1.4726
EL53,T4,score_talent,1,+,-1.0134,-1.9114
EL54,T4,score_talent,1,+,-1.0134,-1.0807
EL61,T4,score_talent,1,+,-1.0134,-1.4752
EL62,T4,score_talent,1,+,-1.0134,-2.5369
EL64,T4,score_talent,1,+,-1.0134,-2.0755
EL65,T4,score_talent,1,+,-1.0134,-1.821
ES63,T4,score_talent,1,+,-1.0134,-1.7509
ES64,T4,score_talent,1,+,-1.0134,-2.4289
FRY3,T4,score_talent,1,+,-1.0134,-3.0288
FRY4,T4,score_talent,1,+,-1.0134,-1.9828
HR02,T4,score_talent,1,+,-1.0134,-2.3544
HR06,T4,score_talent,1,+,-1.0134,-1.6334
PT16,T4,score_talent,1,+,-1.0134,-1.2483
PT17,T4,score_talent,1,+,-1.0134,-1.2483
PT18,T4,score_talent,1,+,-1.0134,-1.2483
PT20,T4,score_talent,1,+,-1.0134,-2.1543
RO11,T4,score_talent,1,+,-1.0134,-2.6173
RO12,T4,score_talent,1,+,-1.0134,-2.3779
