,artificial_land_pct,cit_rate_pct,doing_business_score,electricity_price_eur_kwh,eurohpc_proximity_score,gerd_def_pct_gdp,gerd_gov_pct_gdp,gerd_hes_pct_gdp,ntc_import_mw,nuclear_capacity_mw,port_throughput_ktonnes,rail_freight_ktonnes,renewable_energy_share_pct,ultrafast_broadband_pct,water_exploitation_index
artificial_land_pct,1.0,0.043795364678068854,-0.02023101411048077,0.09398793445058194,-0.21261562241312418,0.15124044358239885,0.052645863967010056,0.10029606154546036,-0.04473805097958602,-0.10512743402425836,0.04088567609774636,-0.03486751891809248,0.0050490785204721665,0.17825234367127288,-0.0018211215552479086
cit_rate_pct,0.043795364678068854,1.0,-0.0102849961144476,-0.3518322946568033,0.07201582484212142,0.11414292133480322,0.015934823246546805,0.30714917340465425,-0.1339802736897822,0.21990336396917531,0.49784462588267625,-0.22386873606041416,0.06818846384638477,-0.0014242324056999555,0.28713027295811566
doing_business_score,-0.02023101411048077,-0.0102849961144476,1.0,-0.028433044036552814,0.07161811448952461,0.7203081662409513,0.12310449935402014,0.7874672169509193,0.44856025574801694,0.0002682466466071984,-0.11847031189122711,0.1064594408394184,0.537692269221551,0.08223169136603332,-0.5990641170675347
electricity_price_eur_kwh,0.09398793445058194,-0.3518322946568033,-0.028433044036552814,1.0,-0.24699590697661108,-0.03218698443159473,-0.0025870071497255402,-0.12035931033324512,0.2950905001036097,-0.29092860072849375,0.19339500663928855,0.20079931868646772,-0.5364464796031807,0.135589492613332,-0.034770605850395486
eurohpc_proximity_score,-0.21261562241312418,0.07201582484212142,0.07161811448952461,-0.24699590697661108,1.0,0.07867455798281528,0.4002304664920881,0.008542136506041359,0.4647666969557345,0.16265499595070923,0.23633936011989082,0.14463618645744725,-0.021467488077548932,-0.24323846597329787,0.27510745330330333
gerd_def_pct_gdp,0.15124044358239885,0.11414292133480322,0.7203081662409513,-0.03218698443159473,0.07867455798281528,1.0,0.5264328572518818,0.8220950729223054,0.613688655577316,0.03685654709296312,0.05401975031330608,0.044050200893856396,0.38150474785529787,0.02993727135684544,-0.4575505525086364
gerd_gov_pct_gdp,0.052645863967010056,0.015934823246546805,0.12310449935402014,-0.0025870071497255402,0.4002304664920881,0.5264328572518818,1.0,0.1253936225122021,0.6253740168666254,0.07519380674675687,0.3001023077261947,0.04875786463345694,-0.11623990969806154,-0.02300426107186022,0.0013474380425313763
gerd_hes_pct_gdp,0.10029606154546036,0.30714917340465425,0.7874672169509193,-0.12035931033324512,0.008542136506041359,0.8220950729223054,0.1253936225122021,1.0,0.3155148299169908,-0.007544289474124722,0.011138966125489973,0.015450044183817955,0.5834995941772458,0.06308351187525213,-0.40903577098571386
ntc_import_mw,-0.04473805097958602,-0.1339802736897822,0.44856025574801694,0.2950905001036097,0.4647666969557345,0.613688655577316,0.6253740168666254,0.3155148299169908,1.0,0.07138395714534372,0.2029270813434426,0.1919755150609038,-0.09675526491420702,-0.21701934707637766,-0.24172443971978272
nuclear_capacity_mw,-0.10512743402425836,0.21990336396917531,0.0002682466466071984,-0.29092860072849375,0.16265499595070923,0.03685654709296312,0.07519380674675687,-0.007544289474124722,0.07138395714534372,1.0,0.00878224126767069,-0.0999197345038627,0.022865625507584024,-0.2617823535496004,0.014265216161187866
port_throughput_ktonnes,0.04088567609774636,0.49784462588267625,-0.11847031189122711,0.19339500663928855,0.23633936011989082,0.05401975031330608,0.3001023077261947,0.011138966125489973,0.2029270813434426,0.00878224126767069,1.0,-0.09852262800314926,-0.3074696084915381,0.302946828704856,0.3508745194936735
rail_freight_ktonnes,-0.03486751891809248,-0.22386873606041416,0.1064594408394184,0.20079931868646772,0.14463618645744725,0.044050200893856396,0.04875786463345694,0.015450044183817955,0.1919755150609038,-0.0999197345038627,-0.09852262800314926,1.0,-0.09229728587985266,0.06851368013667712,-0.08423308252591538
renewable_energy_share_pct,0.0050490785204721665,0.06818846384638477,0.537692269221551,-0.5364464796031807,-0.021467488077548932,0.38150474785529787,-0.11623990969806154,0.5834995941772458,-0.09675526491420702,0.022865625507584024,-0.3074696084915381,-0.09229728587985266,1.0,-0.04200346764616871,-0.45791050781150083
ultrafast_broadband_pct,0.17825234367127288,-0.0014242324056999555,0.08223169136603332,0.135589492613332,-0.24323846597329787,0.02993727135684544,-0.02300426107186022,0.06308351187525213,-0.21701934707637766,-0.2617823535496004,0.302946828704856,0.06851368013667712,-0.04200346764616871,1.0,-0.0035620677331992976
water_exploitation_index,-0.0018211215552479086,0.28713027295811566,-0.5990641170675347,-0.034770605850395486,0.27510745330330333,-0.4575505525086364,0.0013474380425313763,-0.40903577098571386,-0.24172443971978272,0.014265216161187866,0.3508745194936735,-0.08423308252591538,-0.45791050781150083,-0.0035620677331992976,1.0
