feature,n,mean,std,skew,kurtosis,shapiro_p,normal_at_5pct
artificial_land_pct,242,6.083160155704849,1.2960790118293888,3.4159949199712156,16.93239462240365,4.629429063680399e-21,False
cit_rate_pct,242,20.591570247933884,4.779336076613469,-0.5491177316473517,-0.1844216509676988,3.6063001565250896e-11,False
doing_business_score,242,76.81280991735538,2.7872340051390214,0.4767127248630782,0.26131281954722807,2.9316303266029325e-08,False
electricity_price_eur_kwh,242,0.17975722156631246,0.034479005371873,-0.8332007147335183,-0.3142992466918688,3.310261981941945e-15,False
eurohpc_proximity_score,242,0.3710743801652893,0.2808221529394795,-0.33036048764868053,-1.307959692133625,3.7476230910271694e-18,False
gerd_def_pct_gdp,242,2.1132231404958675,0.8660946014815053,0.09040715970066505,-1.1479648071071844,3.169338963372724e-10,False
gerd_gov_pct_gdp,242,0.22392561983471074,0.10351439976717143,-0.33916616227248064,-0.8281571960904803,7.421022046601615e-09,False
gerd_hes_pct_gdp,242,0.4597933884297521,0.189501307426286,0.20702188680306433,1.155687855521311,1.926758050916559e-08,False
ntc_import_mw,242,8667.768595041322,5659.416782644086,0.9842933307108734,-0.1271582360562884,1.382354417070044e-14,False
nuclear_capacity_mw,242,313.5165289256198,1217.6133284290152,4.561126069358738,21.459129372105004,1.2674902145145926e-29,False
port_throughput_ktonnes,242,6127917.0,0.0,,,1.0,True
rail_freight_ktonnes,242,0.0,0.0,,,1.0,True
renewable_energy_share_pct,242,25.337723140495868,10.567370898341448,2.110358226351009,4.009328386787674,2.155469272116265e-20,False
ultrafast_broadband_pct,242,93.95119834710744,2.9853256266988097,-0.941969844758565,3.1029967419331017,8.136690784419292e-11,False
water_exploitation_index,242,0.17409090909090907,0.08667797032360118,0.6781993739764873,1.1392237722114542,5.325696563636916e-09,False
