nuts2_code,lisa_i,p_sim,quadrant,type_id
EL64,-0.1059,0.382,ns,T4
EL65,-0.2249,0.258,ns,T4
ES11,-0.06,0.337,ns,T4
ES12,0.0439,0.391,ns,T4
ES13,-0.0028,0.336,ns,T4
ES21,0.0523,0.321,ns,T4
ES22,0.092,0.311,ns,T4
ES23,0.1046,0.295,ns,T4
ES24,-0.0713,0.27,ns,T4
ES30,-0.1043,0.149,ns,T4
ES41,-0.0996,0.076,ns,T4
ES42,1.3591,0.016,HH,T4
ES43,1.816,0.005,HH,T4
SE12,3.4275,0.001,HH,T4
SE21,3.0925,0.001,HH,T4
SE22,3.2212,0.006,HH,T4
SE23,3.4349,0.001,HH,T4
SE31,3.8254,0.001,HH,T4
HU23,0.142,0.148,ns,T4
HU31,0.0587,0.145,ns,T4
HU32,-0.0115,0.235,ns,T4
HU33,-0.123,0.156,ns,T4
IE04,4.1335,0.001,LL,T4
IE05,4.2374,0.001,LL,T4
IE06,4.1941,0.001,LL,T4
ITC1,1.8724,0.003,LL,T4
ITC2,1.1175,0.128,ns,T4
ITC3,1.9857,0.003,LL,T4
ITC4,2.9043,0.001,LL,T4
ITF1,1.5248,0.033,LL,T4
ITF2,-0.0224,0.09,ns,T4
ITF3,-0.0826,0.092,ns,T4
ITF4,-0.0275,0.274,ns,T4
ITF5,-0.103,0.44,ns,T4
ES53,0.0,0.001,HL,T4
ES61,1.7402,0.005,HH,T4
ES62,2.1651,0.003,HH,T4
ES63,0.0,0.001,HL,T4
ES64,0.0,0.001,HL,T4
ES70,0.0,0.001,HL,T4
FI19,2.872,0.007,HH,T4
FI1B,2.806,0.068,ns,T4
FI1C,2.8485,0.001,HH,T4
FI1D,3.1493,0.001,HH,T4
FI20,0.0,0.001,HL,T4
FR10,0.1091,0.259,ns,T4
PL71,0.0626,0.325,ns,T4
PL72,0.039,0.311,ns,T4
PL81,0.0947,0.319,ns,T4
PL82,-0.0272,0.411,ns,T4
PL84,-0.0566,0.345,ns,T4
PL91,0.5044,0.319,ns,T4
PL92,0.1442,0.079,ns,T4
PT11,0.3818,0.307,ns,T4
PT15,-0.447,0.028,LH,T4
PT16,1.4892,0.008,HH,T4
PT17,1.9321,0.029,HH,T4
PT18,1.5388,0.007,HH,T4
PT20,0.0,0.001,HL,T4
PT30,-0.0,0.001,LL,T4
RO11,0.2187,0.204,ns,T4
RO12,0.4969,0.035,HH,T4
RO21,0.9163,0.117,ns,T4
RO22,0.7088,0.016,HH,T4
RO31,0.3315,0.162,ns,T4
RO32,-1.0353,0.211,ns,T4
RO41,0.4017,0.086,ns,T4
RO42,0.0674,0.223,ns,T4
SE11,3.4504,0.027,HH,T4
SE32,4.0294,0.001,HH,T4
SE33,3.7983,0.002,HH,T4
SI03,1.4474,0.007,HH,T4
SI04,-0.0253,0.149,ns,T4
SK01,-0.6387,0.156,ns,T4
SK02,0.1124,0.207,ns,T4
SK03,0.3312,0.099,ns,T4
SK04,0.1308,0.337,ns,T4
NL12,2.8422,0.001,LL,T4
NL13,1.9996,0.012,LL,T4
NL21,1.9225,0.003,LL,T4
NL22,2.1882,0.001,LL,T4
NL23,3.2641,0.001,LL,T4
NL31,2.8953,0.001,LL,T4
NL32,3.0618,0.001,LL,T4
NL33,2.7393,0.001,LL,T4
NL34,1.7688,0.002,LL,T4
NL41,2.3675,0.002,LL,T4
NL42,1.7162,0.01,LL,T4
PL21,0.0317,0.31,ns,T4
PL22,-0.0586,0.245,ns,T4
PL41,0.014,0.446,ns,T4
PL42,-0.0024,0.411,ns,T4
PL43,0.0053,0.403,ns,T4
PL51,0.0206,0.218,ns,T4
PL52,0.0235,0.31,ns,T4
PL61,0.0826,0.328,ns,T4
PL62,-0.0567,0.32,ns,T4
PL63,-0.0179,0.321,ns,T4
HR05,-0.9395,0.105,ns,T4
HR06,0.7504,0.101,ns,T4
CZ05,0.6762,0.03,LL,T5
CZ06,0.6646,0.026,LL,T5
CZ07,0.911,0.001,LL,T5
CZ08,0.8056,0.012,LL,T5
DE11,0.8719,0.035,HH,T5
DE12,0.7913,0.022,HH,T5
DE13,0.674,0.106,ns,T5
DE14,0.861,0.022,HH,T5
DE21,0.7292,0.029,HH,T5
DE22,0.3121,0.19,ns,T5
DE23,0.2652,0.213,ns,T5
DE24,0.4693,0.104,ns,T5
DE25,0.8398,0.021,HH,T5
DE26,0.7743,0.017,HH,T5
DE27,0.7938,0.021,HH,T5
DE30,0.854,0.256,ns,T5
DEC0,0.4323,0.122,ns,T5
DED2,-0.181,0.262,ns,T5
DED4,0.3451,0.165,ns,T5
DED5,0.5838,0.063,ns,T5
DEE0,0.562,0.055,ns,T5
DEF0,0.7028,0.057,ns,T5
DEG0,0.6474,0.022,HH,T5
DK01,1.9601,0.069,ns,T5
AT31,0.2115,0.14,ns,T5
AT32,0.2606,0.199,ns,T5
AT33,0.169,0.193,ns,T5
CY00,-0.0,0.001,LL,T5
CZ01,0.1008,0.266,ns,T5
CZ02,0.7076,0.024,LL,T5
CZ03,0.0297,0.493,ns,T5
CZ04,-0.1036,0.376,ns,T5
DK03,1.1658,0.08,ns,T5
DK04,1.4546,0.074,ns,T5
DK05,1.4416,0.074,ns,T5
EE00,0.5635,0.314,ns,T5
EL30,0.1856,0.235,ns,T5
EL41,-0.0,0.001,LL,T5
DE40,0.2595,0.139,ns,T5
DE50,1.0145,0.091,ns,T5
DE60,0.8081,0.153,ns,T5
DE71,0.7723,0.02,HH,T5
DE72,0.7906,0.059,ns,T5
DE73,0.7543,0.017,HH,T5
DE80,0.21,0.244,ns,T5
DE91,0.7419,0.031,HH,T5
DE92,0.778,0.026,HH,T5
AT11,-0.0631,0.436,ns,T5
AT12,-0.0413,0.431,ns,T5
AT13,0.4787,0.315,ns,T5
AT21,-0.0124,0.492,ns,T5
AT22,0.1906,0.135,ns,T5
ES51,0.0021,0.436,ns,T5
ES52,-0.0007,0.492,ns,T5
AT34,0.8889,0.098,ns,T5
BE10,-0.1111,0.451,ns,T5
BE21,0.0341,0.459,ns,T5
BE22,0.0513,0.442,ns,T5
BE23,0.1546,0.255,ns,T5
BE24,0.1223,0.13,ns,T5
BE25,0.0125,0.497,ns,T5
BE31,0.1495,0.073,ns,T5
BE32,0.1582,0.282,ns,T5
BE33,0.0523,0.401,ns,T5
BE34,0.2098,0.29,ns,T5
BE35,0.4337,0.154,ns,T5
BG31,1.9297,0.001,LL,T5
BG32,1.57,0.001,LL,T5
BG33,1.3422,0.005,LL,T5
BG34,1.7994,0.001,LL,T5
BG41,1.0865,0.009,LL,T5
BG42,1.3851,0.002,LL,T5
LT02,0.0307,0.239,ns,T5
LU00,-0.0187,0.384,ns,T5
LV00,0.2604,0.233,ns,T5
MT00,-0.0,0.001,LL,T5
NL11,0.3057,0.158,ns,T5
EL42,-0.0,0.001,LL,T5
EL43,-0.0,0.001,LL,T5
EL51,0.5438,0.025,LL,T5
EL52,0.4078,0.072,ns,T5
EL53,0.2754,0.163,ns,T5
EL54,0.2272,0.151,ns,T5
DK02,1.9601,0.065,ns,T5
ITG2,-0.0,0.001,LL,T5
ITH1,0.278,0.266,ns,T5
ITH2,0.7353,0.016,LL,T5
ITH3,0.5479,0.073,ns,T5
ITH4,0.1338,0.413,ns,T5
ITH5,1.0313,0.001,LL,T5
ITI1,1.2036,0.002,LL,T5
ITI2,1.3846,0.008,LL,T5
ITI3,1.3509,0.002,LL,T5
ITI4,1.2632,0.001,LL,T5
LT01,-0.0141,0.488,ns,T5
DE93,0.6411,0.008,HH,T5
DE94,0.5713,0.019,HH,T5
DEA1,0.6849,0.054,ns,T5
DEA2,0.5212,0.092,ns,T5
DEA3,0.6302,0.035,HH,T5
DEA4,0.7441,0.027,HH,T5
DEA5,0.7734,0.017,HH,T5
DEB1,0.7107,0.017,HH,T5
DEB2,0.2862,0.2,ns,T5
DEB3,0.6503,0.04,HH,T5
FRB0,0.0082,0.431,ns,T5
FRC1,-0.0794,0.24,ns,T5
FRC2,0.0282,0.321,ns,T5
FRD1,0.0008,0.325,ns,T5
FRD2,0.0448,0.262,ns,T5
FRE1,-0.2301,0.247,ns,T5
FRE2,0.0271,0.322,ns,T5
FRF1,0.2946,0.085,ns,T5
FRF2,-0.0265,0.325,ns,T5
FRF3,0.0656,0.262,ns,T5
FRG0,0.0331,0.365,ns,T5
FRH0,0.0222,0.408,ns,T5
FRI1,-0.0286,0.444,ns,T5
FRI2,-0.1386,0.329,ns,T5
FRI3,0.0013,0.484,ns,T5
FRJ1,0.0099,0.352,ns,T5
FRJ2,-0.0035,0.484,ns,T5
FRK1,-0.0009,0.456,ns,T5
FRK2,-0.0808,0.246,ns,T5
FRL0,-0.1221,0.175,ns,T5
FRM0,-0.0,0.001,LL,T5
FRY1,-0.0,0.001,LL,T5
FRY2,0.0,0.001,HL,T5
FRY3,-0.0,0.001,LL,T5
FRY4,0.0,0.001,HL,T5
FRY5,0.0,0.001,HL,T5
HR03,0.0585,0.438,ns,T5
HR02,0.2903,0.048,LL,T5
HU11,0.1837,0.318,ns,T5
HU12,0.6725,0.002,LL,T5
HU21,0.8765,0.003,LL,T5
HU22,0.4294,0.081,ns,T5
ITF6,2.02,0.025,LL,T5
ITG1,-0.0,0.001,LL,T5
EL61,0.2913,0.106,ns,T5
EL62,-0.0,0.001,LL,T5
EL63,0.2807,0.146,ns,T5
EL64,0.2729,0.192,ns,T5
EL65,0.2237,0.257,ns,T5
ES11,0.0302,0.408,ns,T5
ES12,0.0,0.495,ns,T5
ES13,-0.0018,0.498,ns,T5
ES21,0.0018,0.371,ns,T5
ES22,0.0032,0.383,ns,T5
ES23,0.0001,0.482,ns,T5
ES24,0.0008,0.412,ns,T5
ES30,-0.0149,0.478,ns,T5
ES41,0.0043,0.404,ns,T5
ES42,0.0011,0.477,ns,T5
ES43,0.0271,0.29,ns,T5
SE12,8.2661,0.001,HH,T5
SE21,7.8655,0.001,HH,T5
SE22,7.7662,0.006,HH,T5
SE23,7.5951,0.001,HH,T5
SE31,7.7488,0.001,HH,T5
HU23,0.8462,0.019,LL,T5
HU31,1.2396,0.002,LL,T5
HU32,1.1713,0.002,LL,T5
HU33,0.9826,0.007,LL,T5
IE04,0.6516,0.11,ns,T5
IE05,0.7628,0.172,ns,T5
IE06,0.601,0.089,ns,T5
ITC1,0.6479,0.089,ns,T5
ITC2,0.3577,0.244,ns,T5
ITC3,0.7373,0.047,LL,T5
ITC4,0.9939,0.002,LL,T5
ITF1,1.4852,0.005,LL,T5
ITF2,1.7427,0.001,LL,T5
ITF3,1.7245,0.001,LL,T5
ITF4,1.9984,0.003,LL,T5
ITF5,1.9975,0.003,LL,T5
ES53,0.0,0.001,HL,T5
ES61,0.0313,0.349,ns,T5
ES62,-0.0028,0.463,ns,T5
ES63,-0.0,0.001,LL,T5
ES64,0.0,0.001,HL,T5
ES70,0.0,0.001,HL,T5
FI19,6.8136,0.007,HH,T5
FI1B,7.404,0.041,HH,T5
FI1C,6.9129,0.001,HH,T5
FI1D,6.4535,0.001,HH,T5
FI20,0.0,0.001,HL,T5
FR10,0.0592,0.405,ns,T5
PL71,0.9374,0.001,LL,T5
PL72,1.0448,0.001,LL,T5
PL81,1.0628,0.007,LL,T5
PL82,1.1006,0.004,LL,T5
PL84,0.8133,0.035,LL,T5
PL91,0.7809,0.165,ns,T5
PL92,0.9752,0.002,LL,T5
PT11,0.1035,0.387,ns,T5
PT15,0.0923,0.295,ns,T5
PT16,0.0934,0.342,ns,T5
PT17,-0.056,0.239,ns,T5
PT18,0.0941,0.387,ns,T5
PT20,-0.0,0.001,LL,T5
PT30,-0.0,0.001,LL,T5
RO11,0.6364,0.005,LL,T5
RO12,0.5481,0.011,LL,T5
RO21,0.657,0.067,ns,T5
RO22,0.9559,0.003,LL,T5
RO31,0.892,0.001,LL,T5
RO32,0.2106,0.243,ns,T5
RO41,0.8977,0.012,LL,T5
RO42,0.5747,0.022,LL,T5
SE11,8.8995,0.005,HH,T5
SE32,7.093,0.005,HH,T5
SE33,6.3679,0.005,HH,T5
SI03,0.0083,0.445,ns,T5
SI04,-0.0471,0.319,ns,T5
SK01,0.0902,0.362,ns,T5
SK02,0.722,0.008,LL,T5
SK03,0.9831,0.001,LL,T5
SK04,1.2459,0.001,LL,T5
NL12,0.2644,0.119,ns,T5
NL13,0.2683,0.108,ns,T5
NL21,0.343,0.072,ns,T5
NL22,0.3146,0.048,HH,T5
NL23,0.257,0.113,ns,T5
NL31,0.2718,0.151,ns,T5
NL32,0.2682,0.153,ns,T5
NL33,0.2518,0.116,ns,T5
NL34,-0.0741,0.424,ns,T5
NL41,0.0766,0.302,ns,T5
NL42,0.1431,0.222,ns,T5
PL21,1.0545,0.002,LL,T5
PL22,0.8862,0.001,LL,T5
PL41,0.9439,0.003,LL,T5
PL42,0.2988,0.262,ns,T5
PL43,0.2749,0.268,ns,T5
PL51,0.6274,0.03,LL,T5
PL52,0.8798,0.003,LL,T5
PL61,0.93,0.003,LL,T5
PL62,0.8364,0.018,LL,T5
PL63,0.9254,0.012,LL,T5
HR05,-0.1075,0.401,ns,T5
HR06,0.2111,0.157,ns,T5
CZ05,0.0806,0.257,ns,T6
CZ06,0.0392,0.398,ns,T6
CZ07,0.0406,0.354,ns,T6
CZ08,0.0294,0.429,ns,T6
DE11,0.0323,0.355,ns,T6
DE12,0.0731,0.253,ns,T6
DE13,0.0417,0.238,ns,T6
DE14,0.0044,0.464,ns,T6
DE21,-0.0428,0.367,ns,T6
DE22,0.0053,0.457,ns,T6
DE23,0.0196,0.33,ns,T6
DE24,-0.0011,0.395,ns,T6
DE25,0.027,0.358,ns,T6
DE26,0.0152,0.366,ns,T6
DE27,-0.0027,0.474,ns,T6
DE30,0.0241,0.493,ns,T6
DEC0,0.0211,0.301,ns,T6
DED2,0.0213,0.353,ns,T6
DED4,0.0033,0.404,ns,T6
DED5,0.0106,0.432,ns,T6
DEE0,0.0036,0.409,ns,T6
DEF0,-0.0039,0.451,ns,T6
DEG0,0.0029,0.435,ns,T6
DK01,0.2633,0.284,ns,T6
AT31,0.0574,0.387,ns,T6
AT32,0.1971,0.125,ns,T6
AT33,0.2227,0.11,ns,T6
CY00,-0.0,0.001,LL,T6
CZ01,0.3149,0.279,ns,T6
CZ02,0.1513,0.203,ns,T6
CZ03,0.0075,0.47,ns,T6
CZ04,0.0343,0.317,ns,T6
DK03,0.1772,0.359,ns,T6
DK04,0.4074,0.15,ns,T6
DK05,0.4122,0.281,ns,T6
EE00,2.0041,0.014,LL,T6
EL30,1.0054,0.038,LL,T6
EL41,-0.0,0.001,LL,T6
DE40,0.008,0.389,ns,T6
DE50,0.0173,0.432,ns,T6
DE60,0.0216,0.447,ns,T6
DE71,0.0293,0.392,ns,T6
DE72,0.0063,0.429,ns,T6
DE73,-0.0015,0.375,ns,T6
DE80,0.0032,0.445,ns,T6
DE91,0.0094,0.447,ns,T6
DE92,0.0153,0.388,ns,T6
AT11,0.0176,0.473,ns,T6
AT12,0.047,0.391,ns,T6
AT13,0.1458,0.303,ns,T6
AT21,0.2015,0.141,ns,T6
AT22,0.1695,0.167,ns,T6
ES51,0.0442,0.207,ns,T6
ES52,0.1418,0.062,ns,T6
AT34,0.0455,0.432,ns,T6
BE10,1.502,0.088,ns,T6
BE21,2.4177,0.024,HH,T6
BE22,1.5187,0.002,HH,T6
BE23,1.3814,0.005,HH,T6
BE24,1.7302,0.001,HH,T6
BE25,1.2869,0.011,HH,T6
BE31,1.5651,0.011,HH,T6
BE32,1.0756,0.003,HH,T6
BE33,1.2521,0.048,HH,T6
BE34,0.9387,0.022,HH,T6
BE35,1.1452,0.007,HH,T6
BG31,-0.2332,0.26,ns,T6
BG32,-0.0618,0.353,ns,T6
BG33,-0.021,0.434,ns,T6
BG34,0.006,0.469,ns,T6
BG41,-0.0415,0.201,ns,T6
BG42,0.0398,0.409,ns,T6
LT02,1.2072,0.069,ns,T6
LU00,-1.311,0.014,LH,T6
LV00,2.4064,0.002,LL,T6
MT00,-0.0,0.001,LL,T6
NL11,0.4151,0.2,ns,T6
EL42,-0.0,0.001,LL,T6
EL43,-0.0,0.001,LL,T6
EL51,0.5115,0.212,ns,T6
EL52,0.9075,0.038,LL,T6
EL53,1.3478,0.019,LL,T6
EL54,1.3653,0.015,LL,T6
DK02,0.2633,0.322,ns,T6
ITG2,-0.0,0.001,LL,T6
ITH1,0.8063,0.027,LL,T6
ITH2,1.0335,0.028,LL,T6
ITH3,0.9309,0.004,LL,T6
ITH4,0.3794,0.254,ns,T6
ITH5,1.0921,0.002,LL,T6
ITI1,1.1275,0.005,LL,T6
ITI2,1.1703,0.027,LL,T6
ITI3,1.1916,0.005,LL,T6
ITI4,1.023,0.002,LL,T6
LT01,2.1439,0.011,LL,T6
DE93,0.0061,0.342,ns,T6
DE94,0.0268,0.14,ns,T6
DEA1,0.0575,0.203,ns,T6
DEA2,0.12,0.099,ns,T6
DEA3,0.0203,0.209,ns,T6
DEA4,0.008,0.424,ns,T6
DEA5,0.0083,0.404,ns,T6
DEB1,0.008,0.383,ns,T6
DEB2,-0.0152,0.278,ns,T6
DEB3,0.104,0.074,ns,T6
FRB0,3.5798,0.001,HH,T6
FRC1,2.6117,0.007,HH,T6
FRC2,1.061,0.003,HH,T6
FRD1,3.5388,0.003,HH,T6
FRD2,3.4877,0.003,HH,T6
FRE1,2.0885,0.069,ns,T6
FRE2,1.1578,0.003,HH,T6
FRF1,0.5804,0.059,ns,T6
FRF2,0.9391,0.002,HH,T6
FRF3,0.737,0.181,ns,T6
FRG0,1.3273,0.002,HH,T6
FRH0,1.3775,0.024,HH,T6
FRI1,0.4743,0.306,ns,T6
FRI2,3.5135,0.002,HH,T6
FRI3,1.4457,0.002,HH,T6
FRJ1,1.1031,0.004,HH,T6
FRJ2,1.8779,0.032,HH,T6
FRK1,1.4641,0.001,HH,T6
FRK2,0.6559,0.032,HH,T6
FRL0,-0.2105,0.434,ns,T6
FRM0,0.0,0.001,HL,T6
FRY1,0.0,0.001,HL,T6
FRY2,0.0,0.001,HL,T6
FRY3,0.0,0.001,HL,T6
FRY4,0.0,0.001,HL,T6
FRY5,0.0,0.001,HL,T6
HR03,-0.0097,0.331,ns,T6
HR02,-0.0031,0.476,ns,T6
HU11,0.0567,0.446,ns,T6
HU12,0.0045,0.47,ns,T6
HU21,0.0,0.49,ns,T6
HU22,0.0,0.5,ns,T6
ITF6,1.44,0.159,ns,T6
ITG1,-0.0,0.001,LL,T6
EL61,1.3095,0.003,LL,T6
EL62,-0.0,0.001,LL,T6
EL63,1.3268,0.008,LL,T6
EL64,1.1912,0.025,LL,T6
EL65,1.1813,0.069,ns,T6
ES11,1.8532,0.002,LL,T6
ES12,1.8718,0.001,LL,T6
ES13,1.8384,0.002,LL,T6
ES21,0.7793,0.065,ns,T6
ES22,0.5338,0.214,ns,T6
ES23,1.8344,0.003,LL,T6
ES24,-0.0494,0.464,ns,T6
ES30,0.8966,0.105,ns,T6
ES41,1.5426,0.001,LL,T6
ES42,0.2189,0.002,LL,T6
ES43,0.1774,0.003,LL,T6
SE12,5.1642,0.001,HH,T6
SE21,5.2627,0.001,HH,T6
SE22,3.2679,0.003,HH,T6
SE23,4.9346,0.001,HH,T6
SE31,2.6076,0.002,HH,T6
HU23,0.0025,0.463,ns,T6
HU31,0.0039,0.448,ns,T6
HU32,0.0032,0.43,ns,T6
HU33,0.0036,0.394,ns,T6
IE04,1.5213,0.057,ns,T6
IE05,1.4266,0.042,LL,T6
IE06,1.2868,0.02,LL,T6
ITC1,0.1605,0.365,ns,T6
ITC2,0.0741,0.495,ns,T6
ITC3,0.2154,0.352,ns,T6
ITC4,1.0145,0.005,LL,T6
ITF1,1.2165,0.024,LL,T6
ITF2,1.2845,0.008,LL,T6
ITF3,1.275,0.008,LL,T6
ITF4,1.3756,0.017,LL,T6
ITF5,1.3853,0.013,LL,T6
ES53,-0.0,0.001,LL,T6
ES61,1.3017,0.014,LL,T6
ES62,0.8735,0.139,ns,T6
ES63,-0.0,0.001,LL,T6
ES64,-0.0,0.001,LL,T6
ES70,-0.0,0.001,LL,T6
FI19,0.8868,0.107,ns,T6
FI1B,1.0931,0.126,ns,T6
FI1C,0.9447,0.05,ns,T6
FI1D,0.9631,0.045,HH,T6
FI20,0.0,0.001,HL,T6
FR10,1.9448,0.001,HH,T6
PL71,0.0163,0.423,ns,T6
PL72,-0.0001,0.37,ns,T6
PL81,0.0038,0.469,ns,T6
PL82,0.0024,0.478,ns,T6
PL84,-0.0345,0.227,ns,T6
PL91,0.0456,0.489,ns,T6
PL92,0.0112,0.344,ns,T6
PT11,1.8576,0.001,LL,T6
PT15,1.9462,0.005,LL,T6
PT16,1.625,0.002,LL,T6
PT17,2.0239,0.005,LL,T6
PT18,1.6459,0.002,LL,T6
PT20,-0.0,0.001,LL,T6
PT30,-0.0,0.001,LL,T6
RO11,0.0526,0.317,ns,T6
RO12,0.0312,0.383,ns,T6
RO21,-0.0433,0.415,ns,T6
RO22,-0.2883,0.236,ns,T6
RO31,-0.0617,0.336,ns,T6
RO32,-0.0701,0.338,ns,T6
RO41,-0.0003,0.484,ns,T6
RO42,0.0592,0.329,ns,T6
SE11,4.1365,0.005,HH,T6
SE32,1.5254,0.054,ns,T6
SE33,1.3637,0.078,ns,T6
SI03,-0.0501,0.329,ns,T6
SI04,-0.1626,0.271,ns,T6
SK01,-0.1346,0.289,ns,T6
SK02,-0.0066,0.425,ns,T6
SK03,-0.0124,0.387,ns,T6
SK04,-0.0009,0.486,ns,T6
NL12,0.6061,0.036,HH,T6
NL13,0.4432,0.11,ns,T6
NL21,0.437,0.091,ns,T6
NL22,0.5212,0.035,HH,T6
NL23,0.7158,0.039,HH,T6
NL31,0.6963,0.046,HH,T6
NL32,0.7886,0.058,ns,T6
NL33,0.6708,0.036,HH,T6
NL34,0.8994,0.007,HH,T6
NL41,0.9455,0.008,HH,T6
NL42,0.6833,0.022,HH,T6
PL21,0.0024,0.482,ns,T6
PL22,0.0222,0.401,ns,T6
PL41,0.021,0.363,ns,T6
PL42,0.013,0.405,ns,T6
PL43,0.0013,0.356,ns,T6
PL51,0.0415,0.357,ns,T6
PL52,0.0022,0.275,ns,T6
PL61,0.0123,0.384,ns,T6
PL62,0.0037,0.284,ns,T6
PL63,0.0211,0.429,ns,T6
HR05,-0.0144,0.43,ns,T6
HR06,-0.0041,0.402,ns,T6
CZ05,0.0139,0.454,ns,T7
CZ06,-0.014,0.342,ns,T7
CZ07,0.0969,0.188,ns,T7
CZ08,0.1929,0.205,ns,T7
DE11,2.4521,0.004,HH,T7
DE12,2.1984,0.001,HH,T7
DE13,2.1561,0.014,HH,T7
DE14,2.7675,0.004,HH,T7
DE21,2.2048,0.001,HH,T7
DE22,0.0155,0.019,HH,T7
DE23,0.6025,0.158,ns,T7
DE24,0.1488,0.11,ns,T7
DE25,1.9809,0.001,HH,T7
DE26,0.5972,0.002,HH,T7
DE27,1.561,0.001,HH,T7
DE30,0.1083,0.453,ns,T7
DEC0,-0.0211,0.26,ns,T7
DED2,-0.2527,0.256,ns,T7
DED4,-0.0125,0.321,ns,T7
DED5,0.1065,0.253,ns,T7
DEE0,-0.113,0.189,ns,T7
DEF0,0.2624,0.151,ns,T7
DEG0,0.1524,0.265,ns,T7
DK01,4.8155,0.093,ns,T7
AT31,0.7146,0.032,HH,T7
AT32,0.6743,0.01,HH,T7
AT33,0.7266,0.042,HH,T7
CY00,-0.0,0.001,LL,T7
CZ01,-0.142,0.488,ns,T7
CZ02,0.0171,0.368,ns,T7
CZ03,-0.1119,0.245,ns,T7
CZ04,-0.3936,0.22,ns,T7
DK03,1.2368,0.061,ns,T7
DK04,1.9167,0.049,HH,T7
DK05,1.9524,0.056,ns,T7
EE00,-0.2089,0.433,ns,T7
EL30,-0.1397,0.113,ns,T7
EL41,-0.0,0.001,LL,T7
DE40,0.0123,0.315,ns,T7
DE50,0.051,0.333,ns,T7
DE60,0.3108,0.312,ns,T7
DE71,1.1296,0.027,HH,T7
DE72,0.555,0.17,ns,T7
DE73,0.0487,0.012,HH,T7
DE80,-0.0177,0.418,ns,T7
DE91,0.2121,0.199,ns,T7
DE92,0.2053,0.203,ns,T7
AT11,0.0521,0.213,ns,T7
AT12,0.277,0.103,ns,T7
AT13,0.8427,0.262,ns,T7
AT21,0.4128,0.182,ns,T7
AT22,0.769,0.072,ns,T7
ES51,0.0064,0.478,ns,T7
ES52,0.1734,0.268,ns,T7
AT34,1.2845,0.009,HH,T7
BE10,1.2741,0.131,ns,T7
BE21,0.6239,0.054,ns,T7
BE22,0.2069,0.026,HH,T7
BE23,0.3285,0.129,ns,T7
BE24,0.9803,0.014,HH,T7
BE25,0.0545,0.296,ns,T7
BE31,1.3598,0.134,ns,T7
BE32,0.1254,0.066,ns,T7
BE33,0.175,0.017,HH,T7
BE34,-0.0054,0.445,ns,T7
BE35,0.2303,0.154,ns,T7
BG31,2.6572,0.001,LL,T7
BG32,2.2497,0.001,LL,T7
BG33,2.1116,0.001,LL,T7
BG34,2.1144,0.004,LL,T7
BG41,0.2257,0.019,LL,T7
BG42,1.3539,0.016,LL,T7
LT02,0.0253,0.419,ns,T7
LU00,-0.0357,0.448,ns,T7
LV00,-0.0769,0.335,ns,T7
MT00,-0.0,0.001,LL,T7
NL11,0.1098,0.329,ns,T7
EL42,-0.0,0.001,LL,T7
EL43,-0.0,0.001,LL,T7
EL51,0.4021,0.141,ns,T7
EL52,0.2084,0.068,ns,T7
EL53,0.7939,0.105,ns,T7
EL54,0.9086,0.019,LL,T7
DK02,4.8155,0.003,HH,T7
ITG2,-0.0,0.001,LL,T7
ITH1,0.045,0.461,ns,T7
ITH2,0.6511,0.109,ns,T7
ITH3,0.074,0.409,ns,T7
ITH4,-0.1461,0.27,ns,T7
ITH5,0.323,0.032,LL,T7
ITI1,0.4832,0.049,LL,T7
ITI2,0.6583,0.112,ns,T7
ITI3,0.5877,0.057,ns,T7
ITI4,0.419,0.005,LL,T7
LT01,-0.2479,0.468,ns,T7
DE93,0.0389,0.201,ns,T7
DE94,0.0027,0.088,ns,T7
DEA1,0.3651,0.092,ns,T7
DEA2,0.3261,0.208,ns,T7
DEA3,0.0681,0.077,ns,T7
DEA4,0.2634,0.219,ns,T7
DEA5,0.2618,0.062,ns,T7
DEB1,0.0077,0.021,HH,T7
DEB2,-0.016,0.234,ns,T7
DEB3,0.7079,0.106,ns,T7
FRB0,0.0684,0.369,ns,T7
FRC1,-0.267,0.062,ns,T7
FRC2,-0.0166,0.491,ns,T7
FRD1,0.01,0.266,ns,T7
FRD2,0.0563,0.217,ns,T7
FRE1,0.0,0.461,ns,T7
FRE2,-0.0623,0.327,ns,T7
FRF1,0.4858,0.009,HH,T7
FRF2,-0.1461,0.241,ns,T7
FRF3,-0.1502,0.153,ns,T7
FRG0,0.0241,0.366,ns,T7
FRH0,0.037,0.436,ns,T7
FRI1,0.0402,0.381,ns,T7
FRI2,-0.0924,0.225,ns,T7
FRI3,-0.0568,0.358,ns,T7
FRJ1,-0.0539,0.089,ns,T7
FRJ2,0.0947,0.404,ns,T7
FRK1,0.1022,0.274,ns,T7
FRK2,-0.0915,0.424,ns,T7
FRL0,-0.0746,0.338,ns,T7
FRM0,-0.0,0.001,LL,T7
FRY1,-0.0,0.001,LL,T7
FRY2,-0.0,0.001,LL,T7
FRY3,-0.0,0.001,LL,T7
FRY4,-0.0,0.001,LL,T7
FRY5,-0.0,0.001,LL,T7
HR03,0.2704,0.31,ns,T7
HR02,0.8927,0.043,LL,T7
HU11,0.0219,0.481,ns,T7
HU12,-0.0061,0.182,ns,T7
HU21,0.2232,0.071,ns,T7
HU22,0.1786,0.198,ns,T7
ITF6,2.9174,0.042,LL,T7
ITG1,-0.0,0.001,LL,T7
